Room,Capacity,Type
A211-PC-L,99,pc
A216,25,normal
A226,25,normal
A229,25,normal
A231-H,35,normal
A311-PC-L,99,pc
A316-L,99,lab
A317-MF-L,50,lab
A326-MF-L,50,lab
A329,25,normal
A331,35,normal
A422,24,normal
A435,24,normal
A437,30,normal
A514-PC-L,80,pc
B146,25,normal
B148,28,normal
B150,25,normal
B152,25,normal
B252-PSY-L,22,lab
B346,25,normal
B350,25,normal
B352,25,normal
B367,25,normal
B471,25,normal
CB201,50,normal
D026,80,normal
D028,80,normal
D030,80,normal
D032,82,normal
D126-EF-L,40,lab
D128-MTF,71,normal
D130-MTF,80,normal
D226-Y,60,normal
D228,60,normal
D230,60,normal
D232,60,normal
D234,60,normal
DB14,80,normal
DB16,80,normal
DB18,80,normal
DB20,82,normal
DB102-MF-L,50,lab
E310-MTF,100,normal
E312-MTF,100,normal
E314-MTF,100,normal
F104-PSCG-L,20,lab
F106-PSCG-L,20,lab
F112-PSCG-L,20,lab
F114-PSCG-L,20,lab
F115,27,normal
F117,27,normal
F119-T,20,normal
F204,30,normal
F206,27,normal
F212,27,normal
F214,27,normal
F215,27,normal
F217,27,normal
F223,27,normal
F304,27,normal
F306,27,normal
F312,27,normal
F314,27,normal
F323,27,normal
F404,40,normal
F410,40,normal
F413,40,normal
F415-MTF,30,normal
F417,50,normal
F508-MTF,100,normal
G003,60,normal
G005,60,normal
G006,60,normal
G009,60,normal
G010,60,normal
G101,20,normal
G103,60,normal
G105,60,normal
G108,60,normal
G112,60,normal
G113,60,normal
G201,20,normal
G203-MTF,60,normal
G205-MTF,60,normal
G208-MTF,60,normal
G212-MTF,60,normal
G213,60,normal
G310-MTF,60,normal
GB05,42,normal
GB07-PC-L,80,pc
GB10-PECE-L,45,lab
GB13-PC-L,80,pc
H007/009-PC,80,pc
H203-MTF,40,normal
H205-MTF,40,normal
H207-MTF,40,normal
H208-MTF,40,normal
H210-MTF,40,normal
K084,96,normal
K085,96,normal
K183,75,normal
K184,75,normal
